images,colors,piece,size,0,1,2,3,4,5,6,7,8
"10,2,4,6","Bronze, Silver, Gold",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,335,330,345
"12,2,4,8","Black, Bronze, Gold",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,355,330,345
"14,8,6,4","Black, Silver, Bronze",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,355,330,345
"9,3,1,5","Bronze, Silver, Gold",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"11,1,3,7","Black, Bronze, Gold",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"14,1,5","Black, Silver, Bronze",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"19,5,8","Silver, Silver, Black",3,"35x12x8,35x12x8,50x12x8",127,265,265,265,285,265,300,295,310
"17,5,4","Black, Silver, Gold",3,"35x12x8,35x12x8,50x12x8",127,265,265,265,285,265,300,295,310
"15,7,2","Black, Black, Silver",3,"35x12x8,35x12x8,50x12x8",127,265,265,265,285,265,300,295,310
"18,7,8","Siyah, Siyah, Siyah",3,"35x12x8,35x12x8,50x12x8",127,265,265,265,285,265,300,295,310
"21","White, White, White",3,"35x12x8,35x12x8,50x12x8",127,265,265,265,285,265,300,295,310
"16,3,4","Gold, Gold, Gold",3,"35x12x8,35x12x8,50x12x8",127,265,265,265,285,265,300,295,310
"20,5,6","Silver, Silver, Silver",3,"35x12x8,35x12x8,50x12x8",127,265,265,265,285,265,300,295,310
"22","White, White, White",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"23","White, White, White",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,335,330,345
"24,1","Bronze, Bronze, Bronze",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"25,2","Bronze, Bronze, Bronze",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,335,330,345
"26,3","Gold, Gold, Gold",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"27,4","Gold, Gold, Gold",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,335,330,345
"28,5","Silver, Silver, Silver",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"29,6","Silver, Silver, Silver",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,335,330,345
"30,7","Black, Black, Black",3,"35x12x8,35x12x8,35x12x8",116,243,243,243,267,243,280,275,290
"31,8","Black, Black ,Black",3,"50x12x8,50x12x8,50x12x8",149,300,300,300,320,300,335,330,345
